No,Judul Artikel,Nama Jurnal,Prosiding,Penulis,Tahun Terbit,URL Artikel,URL PDF,Abstrak
48,"
Fake human but real influencer: the interplay of authenticity and humanlikeness in Virtual Influencer communication?
",Fashion and Textiles,N/A,"Naan Ju, Terry Kim and Hyunjoo Im",15 March 2024,https://fashionandtextiles.springeropen.com/articles/10.1186/s40691-024-00380-0,https://fashionandtextiles.springeropen.com/counter/pdf/10.1186/s40691-024-00380-0.pdf,"Recently, there has been a lot of interest in industry and academia in virtual influencers (VIs). This study aimed to augment the understanding of VI marketing by exploring the relationship between VIs characteristics (i.e., their humanlikeness level and operator type), their social media post characteristics (i.e., emotional expression, use of pronouns, use of punctuation marks), and consumer engagement. The analysis of three popular VIs Instagram profiles and posts revealed that VIs with less humanlike appearances tend to exhibit stronger positive emotional expressions. Interestingly, the level of humanlikeness in appearance was not associated with VI's other post characteristics, suggesting other intrinsic factors (e.g., the VIs character and virtual universe) may play a pivotal role. Whether a brand operates the VI or not made a statistically significant difference in the VIs post characteristics. Assessment of user engagement metrics (i.e., number of likes and comments) showed that users prefer hyper-realistic VIs and VIs operated by non-brand agencies, underscoring the importance of perceived authenticity in the digital realm. The emotions expressed by VIs, along with their use of punctuation, were positively related to user engagement."
49,"
Performance evaluation of distributed multi-agent IoT monitoring based on intelligent reflecting surface
",EURASIP Journal on Advances in Signal Processing,N/A,"Ying Sun, Jiajia Huang and Fusheng Wei",14 March 2024,https://asp-eurasipjournals.springeropen.com/articles/10.1186/s13634-024-01132-4,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-024-01132-4.pdf,"The advent of intelligent reflecting surface (IRS) technology has revolutionized the landscape of wireless communication systems, offering promising opportunities for enhancing the performance of Internet of Things (IoT) applications. This paper presents a comprehensive performance evaluation of multi-agent IoT monitoring systems leveraging IRS technology. We focus on three criteria for selecting IRS units and assess the impact on system performance. Specifically, we analyze the system performance by deriving an outage probability expression for each criterion. Our study begins by introducing the concept of IRS and its role in IoT monitoring. We then present three IRS unit selection criteria: optimal selection (OS), partial selection (PS), and random selection (RS). For each criterion, we mathematically model and analyze the system outage probability, shedding light on the reliability and connectivity of IoT devices. The outage probability expressions derived in this work offer valuable insights into the trade-offs associated with IRS unit selection criteria in the context of IoT monitoring. Additionally, our findings contribute to the optimization of multi-agent IoT monitoring systems, enabling improved communication performance and enhanced reliability."
50,"
Joint optimization of UAV communication connectivity and obstacle avoidance in urban environments using a double-map approach
",EURASIP Journal on Advances in Signal Processing,N/A,"Weizhi Zhong, Xin Wang, Xiang Liu, Zhipeng Lin and Farman Ali",14 March 2024,https://asp-eurasipjournals.springeropen.com/articles/10.1186/s13634-024-01130-6,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-024-01130-6.pdf,"Cellular-connected unmanned aerial vehicles (UAVs), which have the potential to extend cellular services from the ground into the airspace, represent a promising technological advancement. However, the presence of communication coverage black holes among base stations and various obstacles within the aerial domain pose significant challenges to ensuring the safe operation of UAVs. This paper introduces a novel trajectory planning scheme, namely the double-map assisted UAV approach, which leverages deep reinforcement learning to address these challenges. The mission execution time, wireless connectivity, and obstacle avoidance are comprehensively modeled and analyzed in this approach, leading to the derivation of a novel joint optimization function. By utilizing an advanced technique known as dueling double deep Q network (D3QN), the objective function is optimized, while employing a mechanism of prioritized experience replay strengthens the training of effective samples. Furthermore, the connectivity and obstacle information collected by the UAV during flight are utilized to generate a map of radio and environmental data for simulating the flying process, thereby significantly reducing operational costs. The numerical results demonstrate that the proposed method effectively circumvents obstacles and areas with weak connections during flight, while also considering mission completion time."
51,"
Time-varying graph learning from smooth and stationary graph signals with hidden nodes
",EURASIP Journal on Advances in Signal Processing,N/A,"Rong Ye, Xue-Qin Jiang, Hui Feng, Jian Wang, Runhe Qiu and Xinxin Hou",13 March 2024,https://asp-eurasipjournals.springeropen.com/articles/10.1186/s13634-024-01128-0,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-024-01128-0.pdf,"Learning graph structure from observed signals over graph is a crucial task in many graph signal processing (GSP) applications. Existing approaches focus on inferring static graph, typically assuming that all nodes are available. However, these approaches ignore the situation where only a subset of nodes are available from spatiotemporal measurements, and the remaining nodes are never observed due to application-specific constraints, resulting in time-varying graph estimation accuracy declines dramatically. To handle this problem, we propose a framework that consider the presence of hidden nodes to identify time-varying graph. Specifically, we assume that the graph signals are smooth and stationary on the graphs and only a small number of edges are allowed to change between two consecutive graphs. With these assumptions, we present a challenging time-varying graph inference problem, which models the influence of hidden nodes in terms of estimating the graph-shift operator matrices that have a form of graph Laplacian. Moreover, we emphasize similar edge pattern (column-sparsity) between different graphs. Finally, our method is evaluated on both synthetic and real-world data. The experimental results demonstrate the advantage of our method when compared to existing benchmarking methods."
52,"
Bayesian EM approach for GNSS parameters of interest estimation under constant modulus interference
",EURASIP Journal on Advances in Signal Processing,N/A,Julien Lesouple and Lorenzo Ortega,13 March 2024,https://asp-eurasipjournals.springeropen.com/articles/10.1186/s13634-024-01129-z,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-024-01129-z.pdf,"Interferences pose a significant risk to applications that rely on global navigation satellite systems (GNSSs). They have the potential to degrade GNSS performance and even result in service disruptions. The most notable type of intentional interference is characterized by a constant modulus, such as chirp and tone interferences. These interferences have a straightforward structure, leading to the creation of complex circles when attempting to identify their contribution. To address the interference and improve the situation, we calculate the maximum likelihood estimator for the relevant parameters (time delay and Doppler shift) while considering the presence of these latent variables. To achieve this, we employ the expectationmaximization algorithm, which has previously demonstrated its effectiveness in similar scenarios. Experiments conducted using synthetic signals confirm the efficiency of the proposed algorithm."
53,"
A modified LSTM with QoS aware hybrid AVO algorithm to enhance resource allocation in D2D communication
",EURASIP Journal on Wireless Communications and Networking,N/A,Shaik Ahmed Pasha and Noor Mohammed Vali Mohamad,12 March 2024,https://jwcn-eurasipjournals.springeropen.com/articles/10.1186/s13638-024-02339-7,https://jwcn-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13638-024-02339-7.pdf,"In communication technologies, device-to-device (D2D) communication is essential for resource management and power control, which are major research concerns nowadays. D2D resource allocation involves dividing vital resources, such as time, power, and spectrum, among several devices. Each device can connect to other devices via one or more frequency channels. D2D communication shares the cellular user resources, while signal power transmission causes interference to the users who share the same channel. So, there is a need to control the power of the D2D device to prevent interference. For proper power control and optimization of multi-channel D2D communication, which is a challenging task, we proposed a deep learning approach incorporating a hybrid resource allocation framework. This framework aims to increase the sum rate of D2D user equipment (DUE) while considering quality of service (QoS) factors like limiting interference to cellular user equipment (CUE) and guaranteeing individual DUE rates above a certain threshold. The proposed resource allocation scheme combines two methods, namely a metaheuristic hybrid particle swarm Cauchy approach to African vulture optimization (HPSCAV) and a modified long short-term memory (MLSTM) based approach. The HPSCAV scheme helps to ensure that the QoS constraints are met, while the MLSTM-based approach is utilized for efficient resource allocation by optimizing the power and improving it with HPSCAV. Simulation results validate that the proposed model achieved better performance in various metrics such as system capacity, power consumption, spectral efficiency (SE), and energy efficiency (EE)."
54,"
Collaborative game-based task offloading scheme in the UAV-TB-assisted battlefield network platform
",EURASIP Journal on Wireless Communications and Networking,N/A,Sungwook Kim,8 March 2024,https://jwcn-eurasipjournals.springeropen.com/articles/10.1186/s13638-024-02337-9,https://jwcn-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13638-024-02337-9.pdf,"In the sixth-generation (6G) wireless networks, the use of unmanned aerial vehicles (UAVs) and tethered balloons (TBs) to assist cellular networks has attracted considerable attentions due to their dynamic and quick deployment with their relative low cost. In this article, we propose a new task offloading scheme for smart devices in the modern battlefield area. By the integrative platform of TBs, UAVs and smart devices, the main challenges are (i) providing a task splitting algorithm for the partial offloading service, and (ii) develop a TB resource sharing algorithm to handle the offloading requests. For convenient wireless communications, UAVs work as relay nodes between TBs and individual devices. To achieve a mutually desirable solution, our proposed scheme is formulated as cooperative game models. First, the sequential Raiffa bargaining solution is applied to split the computation-intensive task of each smart device in the battlefield area. Second, the average-surplus value is adopted to effectively share the TB computing resource. Based on the reciprocal combination of two cooperative game solutions, we explore the sequential interaction of TBs, UAVs and battlefield devices, and jointly design our integrated control scheme for offloading services. According to the synergy effect, our hybrid approach can provide a fair-efficient solution in the UAV-TB-assisted battlefield network infrastructure. Finally, extensive simulations are conducted, and the results demonstrate the superiority of our proposed scheme over the existing baseline protocols."
55,"
Intelligent interference cancellation and ambient backscatter signal extraction for wireless-powered UAV IoT network
",EURASIP Journal on Advances in Signal Processing,N/A,"Cheng Zhong, Di Zhai, Yang Lu and Ke Li",7 March 2024,https://asp-eurasipjournals.springeropen.com/articles/10.1186/s13634-024-01121-7,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-024-01121-7.pdf,"Unmanned aerial vehicles (UAVs) offer a new approach to wireless communication, leveraging their high mobility, flexibility, and visual communication capabilities. Ambient backscatter communication enables Internet of Things devices to transmit data by reflecting and modulating ambient radio waves, eliminating the need for additional wireless channels, and reducing energy consumption and cost for sensors. However, passive ambient backscatter communication has limitations such as limited range and poor communication quality. By utilizing UAVs as communication nodes, these limitations can be overcome, expanding the communication range and improving the quality of communication. Although some research has been conducted on combining UAVs and ambient backscatter, several challenges remain. One key challenge is the strong direct link interference in ambient backscatter under UAV conditions, which significantly affects communication quality. In this paper, we propose an intelligent backward and forward straight link interference cancellation algorithm based on NOMA decoding technique to enhance ambient backscatter communication quality under UAV conditions and extract more ambient energy for UAV energy supply. The paper includes theoretical derivation, algorithm description, and simulation analysis to validate the error bit rate of labeled information bits. The results demonstrate that the forward algorithm reduces the error bit rate by approximately 20% under low signal-to-noise ratio (SNR) conditions, while the backward algorithm reduces the error bit rate under high SNR conditions. The combination of the forward and backward algorithms reduces the error bit rate under both high and low SNR conditions. The proposed method contributes to improving the quality of ambient backscatter communication in UAV settings."
56,"
Low-cost and high-performance abnormal trajectory detection based on the GRU model with deep spatiotemporal sequence analysis in cloud computing
",Journal of Cloud Computing,N/A,"Guohao Tang, Huaying Zhao and Baohua Yu",5 March 2024,https://journalofcloudcomputing.springeropen.com/articles/10.1186/s13677-024-00611-1,https://journalofcloudcomputing.springeropen.com/counter/pdf/10.1186/s13677-024-00611-1.pdf,"Trajectory anomalies serve as early indicators of potential issues and frequently provide valuable insights into event occurrence. Existing methods for detecting abnormal trajectories primarily focus on comparing the spatial characteristics of the trajectories. However, they fail to capture the temporal dimensions pattern and evolution within the trajectory data, thereby inadequately identifying the behavioral inertia of the target group. A few detection methods that incorporate spatiotemporal features have also failed to adequately analyze the spatiotemporal sequence evolution information; consequently, detection methods that ignore temporal and spatial correlations are too one-sided. Recurrent neural networks (RNNs), especially gate recurrent unit (GRU) that design reset and update gate control units, process nonlinear sequence processing capabilities, enabling effective extraction and analysis of both temporal and spatial characteristics. However, the basic GRU network model has limited expressive power and may not be able to adequately capture complex sequence patterns and semantic information. To address the above issues, an abnormal trajectory detection method based on the improved GRU model is proposed in cloud computing in this paper. To enhance the anomaly detection ability and training efficiency of relevant models, strictly control the input of irrelevant features and improve the model fitting effect, an improved model combining the random forest algorithm and fully connected layer network is designed. The method deconstructs spatiotemporal semantics through reset and update gated units, while effectively capturing feature evolution information and target behavioral inertia by leveraging the integration of features and nonlinear mapping capabilities of the fully connected layer network. The experimental results based on the GeoLife GPS trajectory dataset indicate that the proposed approach improves both generalization ability by 1% and reduces training cost by 31.68%. This success do provides a practical solution for the task of anomaly trajectory detection."
57,"
Design and implementation of domestic dual-SIM telesecurity alarm system using voice code recognition
",Journal of Electrical Systems and Information Technology,N/A,"Johnpaul Uzozie Okafor, Akinyinka Olukunle Akande and Cosmas Kemdirim Agubor",5 March 2024,https://jesit.springeropen.com/articles/10.1186/s43067-024-00140-6,https://jesit.springeropen.com/counter/pdf/10.1186/s43067-024-00140-6.pdf,"Violent crime cases which include, robbery, rape, and homicide are terribly on the rise, and the role of security in combating this menace cannot be overemphasized. This research presents a security device that aims at fighting violent crimes using voice recognition technology. The work also tends to solve the issue of network downtime when the user is out of reach for help in time of attack. In this work, a voice processing unit which comprises the condenser microphone, an amplifier, a shift register, and a timer was designed. The processing unit circuit was incorporated into microcontrollers which create Human-Device interaction and the GSM communication unit which is made up of two GSM modules. The two microcontrollers used in the design are PIC18F4520 and PIC16F873A. The microcontrollers were programmed with C++ using the MPLAB IDE software and the circuit simulation was done using Proteus Design Suite version 8. The result shows that the appropriate authority receives SMS whenever the pre-recorded code is mentioned. The result also shows that during network downtime, the second GSM module sends an SMS to the appropriate authority. Evaluating the performance of this work, it was observed that the device works best in a calm area compared to a noisy area. This work is designed to work in domestic areas like homes, offices, malls, and mainly areas free from so much noise. Therefore, this work has successfully reduced the crime rate in emergencies."
58,"
Moving from surviving to thriving: a  taxonomy of beginning science teacher challenges
",Disciplinary and Interdisciplinary Science Education Research,N/A,Joel D. Donna and Gillian H. Roehrig,1 March 2024,https://diser.springeropen.com/articles/10.1186/s43031-024-00100-0,https://diser.springeropen.com/counter/pdf/10.1186/s43031-024-00100-0.pdf,Induction programs have been promoted as a potential solution for alleviating aspects of job dissatisfaction that lead to attrition of beginning science teachers. We can meet the immediate concerns of beginning teachers that impact job satisfaction while simultaneously helping them improve their practices by better understanding the particular challenges they face. This qualitative study examines challenges as expressed within an online induction program for non-tenured Science educators with data from synchronous chat room sessions between mentors and beginning teachers. The results indicate that there is a more diverse and nuanced set of challenges that beginning in-service science teachers face than previously indicated by literature. The content-specific nature of these challenges supports the call for content-specific induction.
59,"
How are texts analyzed in blockchain research? A systematic literature review
",Financial Innovation,N/A,"Xian Zhuo, Felix Irresberger and Denefa Bostandzic",29 February 2024,https://jfin-swufe.springeropen.com/articles/10.1186/s40854-023-00501-6,https://jfin-swufe.springeropen.com/counter/pdf/10.1186/s40854-023-00501-6.pdf,"This paper provides a systematic literature review of text analysis methodologies used in blockchain-related research to comprehend and synthesize existing studies across disciplines and define future research directions. We summarize the research scope, text data, and methodologies of 124 papers and identify the two most common combinations of these dimensions: (1) papers that focus on specific cryptocurrencies tend to apply sentiment analysis to instant user-generated content or news articles to discover the correlations between public opinion and market behavior, and (2) studies that examine the broad concept of blockchain with text data from documents published by companies tend to apply topic modeling techniques to explore classifications and trends in blockchain development. We discover five major research topics in the academic literature: relationship discovery, cryptocurrency performance prediction, classification and trend, crime and regulation, and perception of blockchain. Based on these findings, we highlight three potential research directions for researchers to select topics and implement suitable methodologies for text analysis."
60,"
Visual analysis method for unmanned pumping stations on dynamic platforms based on data fusion technology
",EURASIP Journal on Advances in Signal Processing,N/A,"Zhen Liu, Sen Chen, Zhaobo Zhang, Jiahao Qin and Bao Peng",29 February 2024,https://asp-eurasipjournals.springeropen.com/articles/10.1186/s13634-024-01126-2,https://asp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13634-024-01126-2.pdf,"As the scale of water conservancy projects continues to expand, the amount and complexity of analytical data have also correspondingly increased. At present, it is difficult to realize project management decision support based on a single data source, and most manual analysis methods not only have high labor costs, but also are prone to the risk of misjudgment, resulting in huge property losses. Based on this problem, this paper proposes visual analysis method for unmanned pumping stations on dynamic platforms based on data fusion technology. First, the method uses the transfer learning method to enable ResNet18 obtain generalization ability. Secondly, the method uses ResNet18 to extract image features, and outputs fixed length sequence data as the input of long short-term memory (LSTM). Finally, the method uses LSTM outputs the classification results. The experimental results demonstrate that the algorithm model can achieve an impressive accuracy of 99.032%, outperforming the combination of traditional feature extraction and machine learning methods. This model effectively recognizes and classifies images of pumping stations, significantly reducing the risk of accidents in these facilities."
61,"
Whisper-based spoken term detection systems for search on speech ALBAYZIN evaluation challenge
","EURASIP Journal on Audio, Speech, and Music Processing",N/A,Javier Tejedor and Doroteo T. Toledano,29 February 2024,https://asmp-eurasipjournals.springeropen.com/articles/10.1186/s13636-024-00334-w,https://asmp-eurasipjournals.springeropen.com/counter/pdf/10.1186/s13636-024-00334-w.pdf,"The vast amount of information stored in audio repositories makes necessary the development of efficient and automatic methods to search on audio content. In that direction, search on speech (SoS) has received much attention in the last decades. To motivate the development of automatic systems, ALBAYZIN evaluations include a search on speech challenge since 2012. This challenge releases several databases that cover different acoustic domains (i.e., spontaneous speech from TV shows, conference talks, parliament sessions, to name a few) aiming to build automatic systems that retrieve a set of terms from those databases. This paper presents a baseline system based on the Whisper automatic speech recognizer for the spoken term detection task in the search on speech challenge held in 2022 within the ALBAYZIN evaluations. This baseline system will be released with this publication and will be given to participants in the upcoming SoS ALBAYZIN evaluation in 2024. Additionally, several analyses based on some term properties (i.e., in-language and foreign terms, and single-word and multi-word terms) are carried out to show the Whisper capability at retrieving terms that convey specific properties. Although the results obtained for some databases are far from being perfect (e.g., for broadcast news domain), this Whisper-based approach has obtained the best results on the challenge databases so far so that it presents a strong baseline system for the upcoming challenge, encouraging participants to improve it."
